Date,Actual system demand
01/01/2021 00:30,29018
01/01/2021 01:00,28252
01/01/2021 01:30,27625
01/01/2021 02:00,27051
01/01/2021 02:30,26693
01/01/2021 03:00,26330
01/01/2021 03:30,25779
01/01/2021 04:00,25431
01/01/2021 04:30,25093
01/01/2021 05:00,25057
01/01/2021 05:30,24955
01/01/2021 06:00,25528
01/01/2021 06:30,25863
01/01/2021 07:00,25638
01/01/2021 07:30,25785
01/01/2021 08:00,26410
01/01/2021 08:30,27282
01/01/2021 09:00,28698
01/01/2021 09:30,30056
01/01/2021 10:00,31292
01/01/2021 10:30,32249
01/01/2021 11:00,33294
01/01/2021 11:30,33928
01/01/2021 12:00,34759
01/01/2021 12:30,35246
01/01/2021 13:00,35479
01/01/2021 13:30,35427
01/01/2021 14:00,35537
01/01/2021 14:30,35600
01/01/2021 15:00,35943
01/01/2021 15:30,36649
01/01/2021 16:00,38077
01/01/2021 16:30,40003
01/01/2021 17:00,40425
01/01/2021 17:30,40155
01/01/2021 18:00,39295
01/01/2021 18:30,38065
01/01/2021 19:00,36762
01/01/2021 19:30,35515
01/01/2021 20:00,34458
01/01/2021 20:30,33376
01/01/2021 21:00,32282
01/01/2021 21:30,31146
01/01/2021 22:00,30014
01/01/2021 22:30,28897
01/01/2021 23:00,27203
01/01/2021 23:30,26240
02/01/2021 00:00,26125
02/01/2021 00:30,26498
02/01/2021 01:00,26077
02/01/2021 01:30,25786
02/01/2021 02:00,25646
02/01/2021 02:30,25213
02/01/2021 03:00,25149
02/01/2021 03:30,24853
02/01/2021 04:00,24814
02/01/2021 04:30,24681
02/01/2021 05:00,24999
02/01/2021 05:30,25256
02/01/2021 06:00,26033
02/01/2021 06:30,26423
02/01/2021 07:00,27086
02/01/2021 07:30,27587
02/01/2021 08:00,28734
02/01/2021 08:30,30095
02/01/2021 09:00,31460
02/01/2021 09:30,32429
02/01/2021 10:00,33194
02/01/2021 10:30,33691
02/01/2021 11:00,33946
02/01/2021 11:30,34482
02/01/2021 12:00,35139
02/01/2021 12:30,35503
02/01/2021 13:00,36021
02/01/2021 13:30,35967
02/01/2021 14:00,36224
02/01/2021 14:30,36599
02/01/2021 15:00,37111
02/01/2021 15:30,37675
02/01/2021 16:00,39336
02/01/2021 16:30,41311
02/01/2021 17:00,42149
02/01/2021 17:30,42236
02/01/2021 18:00,41317
02/01/2021 18:30,40478
02/01/2021 19:00,39365
02/01/2021 19:30,37733
02/01/2021 20:00,36654
02/01/2021 20:30,35363
02/01/2021 21:00,34274
02/01/2021 21:30,32860
02/01/2021 22:00,31274
02/01/2021 22:30,29867
02/01/2021 23:00,28270
02/01/2021 23:30,27426
03/01/2021 00:00,26995
03/01/2021 00:30,27144
03/01/2021 01:00,26767
03/01/2021 01:30,26065
03/01/2021 02:00,25550
03/01/2021 02:30,25352
03/01/2021 03:00,25271
03/01/2021 03:30,24705
03/01/2021 04:00,24808
03/01/2021 04:30,24581
03/01/2021 05:00,24866
03/01/2021 05:30,24988
03/01/2021 06:00,25553
03/01/2021 06:30,25979
03/01/2021 07:00,26364
03/01/2021 07:30,26689
03/01/2021 08:00,27466
03/01/2021 08:30,28916
03/01/2021 09:00,30608
03/01/2021 09:30,32039
03/01/2021 10:00,33319
03/01/2021 10:30,34076
03/01/2021 11:00,34842
03/01/2021 11:30,35285
03/01/2021 12:00,35645
03/01/2021 12:30,36297
03/01/2021 13:00,36359
03/01/2021 13:30,36545
03/01/2021 14:00,36894
03/01/2021 14:30,37375
03/01/2021 15:00,38316
03/01/2021 15:30,39127
03/01/2021 16:00,40939
03/01/2021 16:30,42581
03/01/2021 17:00,43206
03/01/2021 17:30,43035
03/01/2021 18:00,42238
03/01/2021 18:30,40915
03/01/2021 19:00,39236
03/01/2021 19:30,37735
03/01/2021 20:00,36556
03/01/2021 20:30,35053
03/01/2021 21:00,33570
03/01/2021 21:30,32167
03/01/2021 22:00,30812
03/01/2021 22:30,29510
03/01/2021 23:00,27957
03/01/2021 23:30,26922
04/01/2021 00:00,26778
04/01/2021 00:30,26957
04/01/2021 01:00,27017
04/01/2021 01:30,26644
04/01/2021 02:00,26245
04/01/2021 02:30,26202
04/01/2021 03:00,26216
04/01/2021 03:30,26038
04/01/2021 04:00,25678
04/01/2021 04:30,25983
04/01/2021 05:00,26421
04/01/2021 05:30,27338
04/01/2021 06:00,28982
04/01/2021 06:30,31017
04/01/2021 07:00,33255
04/01/2021 07:30,34936
04/01/2021 08:00,37018
04/01/2021 08:30,38414
04/01/2021 09:00,39801
04/01/2021 09:30,40395
04/01/2021 10:00,40660
04/01/2021 10:30,40856
04/01/2021 11:00,41494
04/01/2021 11:30,41569
04/01/2021 12:00,41999
04/01/2021 12:30,42211
04/01/2021 13:00,42614
04/01/2021 13:30,42589
04/01/2021 14:00,42721
04/01/2021 14:30,42655
04/01/2021 15:00,42725
04/01/2021 15:30,43128
04/01/2021 16:00,44287
04/01/2021 16:30,45460
04/01/2021 17:00,45962
04/01/2021 17:30,45670
04/01/2021 18:00,45178
04/01/2021 18:30,44509
04/01/2021 19:00,43357
04/01/2021 19:30,41863
04/01/2021 20:00,39766
04/01/2021 20:30,38478
04/01/2021 21:00,37037
04/01/2021 21:30,35344
04/01/2021 22:00,33247
04/01/2021 22:30,31449
04/01/2021 23:00,30012
04/01/2021 23:30,28706
05/01/2021 00:00,28604
05/01/2021 00:30,28964
05/01/2021 01:00,28702
05/01/2021 01:30,28614
05/01/2021 02:00,28737
05/01/2021 02:30,28535
05/01/2021 03:00,28160
05/01/2021 03:30,27716
05/01/2021 04:00,27550
05/01/2021 04:30,27552
05/01/2021 05:00,27878
05/01/2021 05:30,28617
05/01/2021 06:00,30366
05/01/2021 06:30,32366
05/01/2021 07:00,34398
05/01/2021 07:30,36701
05/01/2021 08:00,38812
05/01/2021 08:30,40072
05/01/2021 09:00,40836
05/01/2021 09:30,41331
05/01/2021 10:00,41091
05/01/2021 10:30,41233
05/01/2021 11:00,41271
05/01/2021 11:30,41229
05/01/2021 12:00,41376
05/01/2021 12:30,41663
05/01/2021 13:00,42063
05/01/2021 13:30,42049
05/01/2021 14:00,42284
05/01/2021 14:30,42445
05/01/2021 15:00,43189
05/01/2021 15:30,43687
05/01/2021 16:00,44926
05/01/2021 16:30,45770
05/01/2021 17:00,46050
05/01/2021 17:30,46076
05/01/2021 18:00,45949
05/01/2021 18:30,45142
05/01/2021 19:00,44087
05/01/2021 19:30,42846
05/01/2021 20:00,41735
05/01/2021 20:30,40433
05/01/2021 21:00,38304
05/01/2021 21:30,36407
05/01/2021 22:00,34361
05/01/2021 22:30,32589
05/01/2021 23:00,31460
05/01/2021 23:30,31083
06/01/2021 00:00,31195
06/01/2021 00:30,31536
06/01/2021 01:00,31110
06/01/2021 01:30,30665
06/01/2021 02:00,30198
06/01/2021 02:30,29802
06/01/2021 03:00,29729
06/01/2021 03:30,29314
06/01/2021 04:00,29186
06/01/2021 04:30,29240
06/01/2021 05:00,29623
06/01/2021 05:30,30408
06/01/2021 06:00,32108
06/01/2021 06:30,34168
06/01/2021 07:00,36611
06/01/2021 07:30,38621
06/01/2021 08:00,40613
06/01/2021 08:30,41545
06/01/2021 09:00,41785
06/01/2021 09:30,42014
06/01/2021 10:00,42319
06/01/2021 10:30,42417
06/01/2021 11:00,42883
06/01/2021 11:30,42993
06/01/2021 12:00,43114
06/01/2021 12:30,43032
06/01/2021 13:00,42964
06/01/2021 13:30,42672
06/01/2021 14:00,42576
06/01/2021 14:30,42506
06/01/2021 15:00,43215
06/01/2021 15:30,44059
06/01/2021 16:00,44273
06/01/2021 16:30,45775
06/01/2021 17:00,46426
06/01/2021 17:30,46542
06/01/2021 18:00,46087
06/01/2021 18:30,45815
06/01/2021 19:00,44692
06/01/2021 19:30,43559
06/01/2021 20:00,42170
06/01/2021 20:30,40979
06/01/2021 21:00,39132
06/01/2021 21:30,37563
06/01/2021 22:00,35365
06/01/2021 22:30,33518
06/01/2021 23:00,32504
06/01/2021 23:30,31891
07/01/2021 00:00,31939
07/01/2021 00:30,32127
07/01/2021 01:00,31831
07/01/2021 01:30,31434
07/01/2021 02:00,30951
07/01/2021 02:30,30756
07/01/2021 03:00,30323
07/01/2021 03:30,29919
07/01/2021 04:00,29562
07/01/2021 04:30,29631
07/01/2021 05:00,30324
07/01/2021 05:30,31633
07/01/2021 06:00,34996
07/01/2021 06:30,37264
07/01/2021 07:00,38586
07/01/2021 07:30,39848
07/01/2021 08:00,40763
07/01/2021 08:30,41734
07/01/2021 09:00,42504
07/01/2021 09:30,42667
07/01/2021 10:00,42543
07/01/2021 10:30,42400
07/01/2021 11:00,42765
07/01/2021 11:30,42620
07/01/2021 12:00,42768
07/01/2021 12:30,42622
07/01/2021 13:00,42611
07/01/2021 13:30,42413
07/01/2021 14:00,42916
07/01/2021 14:30,43119
07/01/2021 15:00,43397
07/01/2021 15:30,43911
07/01/2021 16:00,44992
07/01/2021 16:30,46218
07/01/2021 17:00,46944
07/01/2021 17:30,46909
07/01/2021 18:00,46244
07/01/2021 18:30,45888
07/01/2021 19:00,45071
07/01/2021 19:30,43293
07/01/2021 20:00,41822
07/01/2021 20:30,40669
07/01/2021 21:00,38948
07/01/2021 21:30,37213
07/01/2021 22:00,35917
07/01/2021 22:30,34043
07/01/2021 23:00,32862
07/01/2021 23:30,31859
08/01/2021 00:00,31698
08/01/2021 00:30,32158
08/01/2021 01:00,32296
08/01/2021 01:30,31772
08/01/2021 02:00,31072
08/01/2021 02:30,30780
08/01/2021 03:00,30391
08/01/2021 03:30,30031
08/01/2021 04:00,30444
08/01/2021 04:30,30560
08/01/2021 05:00,32068
08/01/2021 05:30,32802
08/01/2021 06:00,34999
08/01/2021 06:30,36610
08/01/2021 07:00,37244
08/01/2021 07:30,38869
08/01/2021 08:00,40180
08/01/2021 08:30,41143
08/01/2021 09:00,42062
08/01/2021 09:30,42314
08/01/2021 10:00,42565
08/01/2021 10:30,42655
08/01/2021 11:00,42789
08/01/2021 11:30,43051
08/01/2021 12:00,43564
08/01/2021 12:30,43519
08/01/2021 13:00,43603
08/01/2021 13:30,43041
08/01/2021 14:00,42929
08/01/2021 14:30,42858
08/01/2021 15:00,43110
08/01/2021 15:30,43561
08/01/2021 16:00,44022
08/01/2021 16:30,45232
08/01/2021 17:00,45599
08/01/2021 17:30,45464
08/01/2021 18:00,45051
08/01/2021 18:30,44319
08/01/2021 19:00,43456
08/01/2021 19:30,41662
08/01/2021 20:00,40421
08/01/2021 20:30,39348
08/01/2021 21:00,37636
08/01/2021 21:30,36219
08/01/2021 22:00,34955
08/01/2021 22:30,33450
08/01/2021 23:00,31848
08/01/2021 23:30,31150
09/01/2021 00:00,30891
09/01/2021 00:30,31528
09/01/2021 01:00,31654
09/01/2021 01:30,31034
09/01/2021 02:00,30449
09/01/2021 02:30,30235
09/01/2021 03:00,29664
09/01/2021 03:30,29133
09/01/2021 04:00,28930
09/01/2021 04:30,28820
09/01/2021 05:00,28883
09/01/2021 05:30,29146
09/01/2021 06:00,30361
09/01/2021 06:30,31216
09/01/2021 07:00,31199
09/01/2021 07:30,31460
09/01/2021 08:00,32723
09/01/2021 08:30,34270
09/01/2021 09:00,35605
09/01/2021 09:30,36455
09/01/2021 10:00,37014
09/01/2021 10:30,37462
09/01/2021 11:00,37699
09/01/2021 11:30,37924
09/01/2021 12:00,38089
09/01/2021 12:30,38039
09/01/2021 13:00,38072
09/01/2021 13:30,37970
09/01/2021 14:00,38005
09/01/2021 14:30,38158
09/01/2021 15:00,38635
09/01/2021 15:30,39426
09/01/2021 16:00,40993
09/01/2021 16:30,42882
09/01/2021 17:00,43881
09/01/2021 17:30,44353
09/01/2021 18:00,43960
09/01/2021 18:30,42831
09/01/2021 19:00,41126
09/01/2021 19:30,40041
09/01/2021 20:00,39076
09/01/2021 20:30,37699
09/01/2021 21:00,36114
09/01/2021 21:30,34561
09/01/2021 22:00,33157
09/01/2021 22:30,31433
09/01/2021 23:00,29839
09/01/2021 23:30,28863
10/01/2021 00:00,28482
10/01/2021 00:30,28760
10/01/2021 01:00,28645
10/01/2021 01:30,28398
10/01/2021 02:00,27938
10/01/2021 02:30,27809
10/01/2021 03:00,27370
10/01/2021 03:30,26951
10/01/2021 04:00,26722
10/01/2021 04:30,26797
10/01/2021 05:00,26674
10/01/2021 05:30,26785
10/01/2021 06:00,27224
10/01/2021 06:30,27963
10/01/2021 07:00,28921
10/01/2021 07:30,29491
10/01/2021 08:00,29775
10/01/2021 08:30,31109
10/01/2021 09:00,32645
10/01/2021 09:30,34022
10/01/2021 10:00,35154
10/01/2021 10:30,35873
10/01/2021 11:00,36446
10/01/2021 11:30,36891
10/01/2021 12:00,37903
10/01/2021 12:30,38430
10/01/2021 13:00,38583
10/01/2021 13:30,38852
10/01/2021 14:00,39141
10/01/2021 14:30,39424
10/01/2021 15:00,40047
10/01/2021 15:30,40701
10/01/2021 16:00,42322
10/01/2021 16:30,43963
10/01/2021 17:00,44236
10/01/2021 17:30,44136
10/01/2021 18:00,42883
10/01/2021 18:30,41112
10/01/2021 19:00,39704
10/01/2021 19:30,38175
10/01/2021 20:00,36994
10/01/2021 20:30,35615
10/01/2021 21:00,34161
10/01/2021 21:30,32492
10/01/2021 22:00,30546
10/01/2021 22:30,28995
10/01/2021 23:00,27419
10/01/2021 23:30,26459
11/01/2021 00:00,26988
11/01/2021 00:30,27525
11/01/2021 01:00,27327
11/01/2021 01:30,26843
11/01/2021 02:00,26442
11/01/2021 02:30,26239
11/01/2021 03:00,25756
11/01/2021 03:30,25470
11/01/2021 04:00,25730
11/01/2021 04:30,25751
11/01/2021 05:00,26409
11/01/2021 05:30,27041
11/01/2021 06:00,29286
11/01/2021 06:30,31630
11/01/2021 07:00,34378
11/01/2021 07:30,36607
11/01/2021 08:00,38464
11/01/2021 08:30,39710
11/01/2021 09:00,40946
11/01/2021 09:30,41088
11/01/2021 10:00,41281
11/01/2021 10:30,41541
11/01/2021 11:00,41380
11/01/2021 11:30,41132
11/01/2021 12:00,40888
11/01/2021 12:30,40793
11/01/2021 13:00,40536
11/01/2021 13:30,39954
11/01/2021 14:00,39698
11/01/2021 14:30,39943
11/01/2021 15:00,40631
11/01/2021 15:30,40877
11/01/2021 16:00,41087
11/01/2021 16:30,42844
11/01/2021 17:00,43480
11/01/2021 17:30,43488
11/01/2021 18:00,42570
11/01/2021 18:30,41424
11/01/2021 19:00,40248
11/01/2021 19:30,38231
11/01/2021 20:00,36686
11/01/2021 20:30,34905
11/01/2021 21:00,33283
11/01/2021 21:30,31734
11/01/2021 22:00,29915
11/01/2021 22:30,28495
11/01/2021 23:00,27038
11/01/2021 23:30,26091
12/01/2021 00:00,26162
12/01/2021 00:30,26829
12/01/2021 01:00,27179
12/01/2021 01:30,27082
12/01/2021 02:00,26506
12/01/2021 02:30,26256
12/01/2021 03:00,26039
12/01/2021 03:30,25849
12/01/2021 04:00,25750
12/01/2021 04:30,25977
12/01/2021 05:00,26070
12/01/2021 05:30,26702
12/01/2021 06:00,28816
12/01/2021 06:30,31107
12/01/2021 07:00,34516
12/01/2021 07:30,36515
12/01/2021 08:00,38033
12/01/2021 08:30,39142
12/01/2021 09:00,40067
12/01/2021 09:30,40157
12/01/2021 10:00,39763
12/01/2021 10:30,40095
12/01/2021 11:00,39966
12/01/2021 11:30,40124
12/01/2021 12:00,40434
12/01/2021 12:30,40491
12/01/2021 13:00,40273
12/01/2021 13:30,39802
12/01/2021 14:00,39489
12/01/2021 14:30,40012
12/01/2021 15:00,41086
12/01/2021 15:30,41915
12/01/2021 16:00,42973
12/01/2021 16:30,44388
12/01/2021 17:00,45184
12/01/2021 17:30,45184
12/01/2021 18:00,44487
12/01/2021 18:30,43867
12/01/2021 19:00,43135
12/01/2021 19:30,41833
12/01/2021 20:00,40512
12/01/2021 20:30,38948
12/01/2021 21:00,37330
12/01/2021 21:30,35996
12/01/2021 22:00,34581
12/01/2021 22:30,32733
12/01/2021 23:00,31481
12/01/2021 23:30,30760
13/01/2021 00:00,30587
13/01/2021 00:30,30961
13/01/2021 01:00,30903
13/01/2021 01:30,30442
13/01/2021 02:00,29938
13/01/2021 02:30,29682
13/01/2021 03:00,29380
13/01/2021 03:30,29175
13/01/2021 04:00,28868
13/01/2021 04:30,28997
13/01/2021 05:00,29292
13/01/2021 05:30,29336
13/01/2021 06:00,30775
13/01/2021 06:30,32769
13/01/2021 07:00,35421
13/01/2021 07:30,37181
13/01/2021 08:00,39364
13/01/2021 08:30,40450
13/01/2021 09:00,40907
13/01/2021 09:30,41246
13/01/2021 10:00,41607
13/01/2021 10:30,41753
13/01/2021 11:00,41700
13/01/2021 11:30,42053
13/01/2021 12:00,42767
13/01/2021 12:30,42704
13/01/2021 13:00,42466
13/01/2021 13:30,41951
13/01/2021 14:00,41850
13/01/2021 14:30,41716
13/01/2021 15:00,41817
13/01/2021 15:30,42400
13/01/2021 16:00,43226
13/01/2021 16:30,44480
13/01/2021 17:00,45321
13/01/2021 17:30,45138
13/01/2021 18:00,44415
13/01/2021 18:30,43278
13/01/2021 19:00,41580
13/01/2021 19:30,40747
13/01/2021 20:00,39792
13/01/2021 20:30,38062
13/01/2021 21:00,36408
13/01/2021 21:30,34535
13/01/2021 22:00,32746
13/01/2021 22:30,32089
13/01/2021 23:00,30841
13/01/2021 23:30,29849
14/01/2021 00:00,29618
14/01/2021 00:30,30057
14/01/2021 01:00,29681
14/01/2021 01:30,29084
14/01/2021 02:00,28592
14/01/2021 02:30,28266
14/01/2021 03:00,28003
14/01/2021 03:30,27674
14/01/2021 04:00,27413
14/01/2021 04:30,27442
14/01/2021 05:00,27881
14/01/2021 05:30,28630
14/01/2021 06:00,30616
14/01/2021 06:30,32307
14/01/2021 07:00,34773
14/01/2021 07:30,36472
14/01/2021 08:00,37989
14/01/2021 08:30,39581
14/01/2021 09:00,40504
14/01/2021 09:30,40997
14/01/2021 10:00,41213
14/01/2021 10:30,41499
14/01/2021 11:00,42185
14/01/2021 11:30,42722
14/01/2021 12:00,43534
14/01/2021 12:30,43427
14/01/2021 13:00,43435
14/01/2021 13:30,42956
14/01/2021 14:00,42353
14/01/2021 14:30,42098
14/01/2021 15:00,42489
14/01/2021 15:30,42649
14/01/2021 16:00,43587
14/01/2021 16:30,44709
14/01/2021 17:00,45275
14/01/2021 17:30,45354
14/01/2021 18:00,44757
14/01/2021 18:30,43371
14/01/2021 19:00,42153
14/01/2021 19:30,40846
14/01/2021 20:00,39876
14/01/2021 20:30,38434
14/01/2021 21:00,37103
14/01/2021 21:30,35644
14/01/2021 22:00,34031
14/01/2021 22:30,32354
14/01/2021 23:00,31302
14/01/2021 23:30,30348
15/01/2021 00:00,30492
15/01/2021 00:30,31080
15/01/2021 01:00,30843
15/01/2021 01:30,30138
15/01/2021 02:00,30039
15/01/2021 02:30,29834
15/01/2021 03:00,29471
15/01/2021 03:30,28895
15/01/2021 04:00,28643
15/01/2021 04:30,28549
15/01/2021 05:00,28722
15/01/2021 05:30,29164
15/01/2021 06:00,31731
15/01/2021 06:30,33654
15/01/2021 07:00,35691
15/01/2021 07:30,37300
15/01/2021 08:00,39510
15/01/2021 08:30,40895
15/01/2021 09:00,41922
15/01/2021 09:30,42017
15/01/2021 10:00,42233
15/01/2021 10:30,42466
15/01/2021 11:00,42387
15/01/2021 11:30,42804
15/01/2021 12:00,42994
15/01/2021 12:30,42989
15/01/2021 13:00,42381
15/01/2021 13:30,41796
15/01/2021 14:00,41657
15/01/2021 14:30,41521
15/01/2021 15:00,41518
15/01/2021 15:30,42053
15/01/2021 16:00,43050
15/01/2021 16:30,44997
15/01/2021 17:00,45836
15/01/2021 17:30,45990
15/01/2021 18:00,45499
15/01/2021 18:30,44160
15/01/2021 19:00,42367
15/01/2021 19:30,41105
15/01/2021 20:00,39443
15/01/2021 20:30,37648
15/01/2021 21:00,35754
15/01/2021 21:30,34392
15/01/2021 22:00,32258
15/01/2021 22:30,30698
15/01/2021 23:00,28846
15/01/2021 23:30,27452
16/01/2021 00:00,26987
16/01/2021 00:30,27267
16/01/2021 01:00,26756
16/01/2021 01:30,26317
16/01/2021 02:00,26256
16/01/2021 02:30,26025
16/01/2021 03:00,25253
16/01/2021 03:30,24853
16/01/2021 04:00,25021
16/01/2021 04:30,24995
16/01/2021 05:00,25423
16/01/2021 05:30,25618
16/01/2021 06:00,25532
16/01/2021 06:30,25988
16/01/2021 07:00,26941
16/01/2021 07:30,27695
16/01/2021 08:00,28967
16/01/2021 08:30,30582
16/01/2021 09:00,32562
16/01/2021 09:30,33623
16/01/2021 10:00,34564
16/01/2021 10:30,35049
16/01/2021 11:00,35167
